,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.44350424408807,0.0,13.461307616440884,0.0,8.931846370676329,0.0
Abend,255.25572953049112,0.0,14.067849919920786,0.0,8.633368813255967,0.0
Aboln,226.06252033347818,0.0,13.238969107018367,0.0,8.995120189186151,0.0
Abtäs,242.40076181565485,0.0,13.704350192118348,0.0,7.731476984248725,0.0
Acker,223.34814296547503,0.0,13.261523007873507,0.0,7.6176934895556805,0.0
Adern,235.41938735947429,0.0,13.563444476200468,0.0,8.195393693610637,0.0
Adler,226.47814552212176,0.0,13.556405572793953,0.0,9.395708607051288,0.0
Adria,224.9355354756256,0.0,13.455945073554094,0.0,9.377032106164352,0.0
Affen,231.19189695169686,0.0,13.342045723161354,0.0,9.768568393040635,0.0
Agenk,251.93593209960017,0.0,13.916654498624508,0.0,8.32352009113344,0.0
Agent,237.3424989419914,0.0,13.493880600159844,0.0,8.716769600510881,0.0
Ahnen,237.84869548605312,0.0,13.258851737203585,0.0,7.449252161481374,0.0
Aigön,234.00096339815414,0.0,13.337874063199004,0.0,9.274594279147967,0.0
Akkus,239.9646582282772,0.0,13.634852178963444,0.0,7.470326573269416,0.0
Aktie,220.04364411817005,0.0,13.421144763812867,0.0,8.920268797954122,0.0
Alahn,228.2470387849226,0.0,13.168707198536236,0.0,8.861634550277705,0.0
Alarm,228.77116451163403,0.0,13.588556892553592,0.0,9.134345301695173,0.0
Alben,234.3640604544147,0.0,13.59332541246016,0.0,8.746261910435774,0.0
Algen,236.27348550645706,0.0,13.529677488530194,0.0,9.386869135284257,0.0
Alibi,211.72353604744137,0.0,13.347270818370642,0.0,10.913197452701848,0.0
Allas,213.10945158491364,0.0,13.037897987813045,0.0,9.385574048110193,0.0
Alpen,237.81148109734406,0.0,13.713205824711881,0.0,9.61509484162474,0.0
Altar,206.0370752564899,0.0,12.94239295947856,0.0,9.480960929638343,0.0
Alten,214.07809374628178,0.0,13.043854162302079,0.0,8.849848628802498,0.0
Alter,206.74933373759268,0.0,13.027961322635667,0.0,9.29462107289177,0.0
