,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,312.0729024607966,0.0,16.198340710705473,0.0,9.75544672292154,0.0
Abend,381.16178897943655,0.0,18.020395540794187,0.0,9.140324784747651,0.0
Aboln,351.79382253619906,0.0,17.301087681622626,0.0,10.500027053466514,0.0
Abtäs,331.607006639583,0.0,16.660789032935963,0.0,8.742492594349113,0.0
Acker,314.99365192873574,0.0,16.142246835840687,0.0,7.764285275054018,0.0
Adern,341.91990561253033,0.0,17.00950932571025,0.0,8.632724913161496,0.0
Adler,322.24692763851357,0.0,16.586786662126848,0.0,9.516007459026294,0.0
Adria,316.5950142956859,0.0,16.34225685905158,0.0,9.681333973184696,0.0
Affen,325.7171233677027,0.0,16.572213025590614,0.0,10.43908406674108,0.0
Agenk,396.9021782951808,0.0,18.221728358721638,0.0,9.827204272017807,0.0
Agent,355.30592812805213,0.0,17.31519176210168,0.0,9.95248763190457,0.0
Ahnen,366.66513077396496,0.0,17.585231307207724,0.0,8.0625969118865,0.0
Aigön,375.0020416971825,0.0,17.740588279320253,0.0,10.449937093630611,0.0
Akkus,368.3036154785933,0.0,17.481445587680813,0.0,7.731090040209087,0.0
Aktie,311.6400650648143,0.0,16.21800265428955,0.0,8.968159055239708,0.0
Alahn,348.1049422158338,0.0,17.14662156132688,0.0,9.658922199667124,0.0
Alarm,347.6716244432703,0.0,17.09274411008271,0.0,11.467189254724246,0.0
Alben,345.39790942460434,0.0,17.18650264654689,0.0,9.356334219182619,0.0
Algen,363.59282573965174,0.0,17.56592199098649,0.0,10.887017654513548,0.0
Alibi,303.34295556807183,0.0,16.197976189139464,0.0,10.841452906538652,0.0
Allas,295.0203650409824,0.0,15.817380473321792,0.0,10.523078969955943,0.0
Alpen,348.1829128656414,0.0,17.227382410922296,0.0,10.24427170792754,0.0
Altar,279.34248953060046,0.0,15.363562113741638,0.0,9.705863199510972,0.0
Alten,304.7076685902399,0.0,16.144409056408065,0.0,9.076839746571789,0.0
Alter,278.10561805800467,0.0,15.39544808940232,0.0,9.103518435269214,0.0
Amche,382.19997190651014,0.0,17.869255598575663,0.0,9.329195808761678,0.0
Amtig,380.13203987961424,0.0,17.925359243810906,0.0,12.747151560269794,0.0
